League,Year,player,team_id,position,goals,assists,key_passes,xG,xA,time,shots,player_id,xGChain,xGBuildup,,League,EPL,,,
EPL,2014,Christian Eriksen,82,AMR,0,0,2,0.201793,0.050002199,90,3,646,0.798932016,0.702651024,,Year,2015,,,
EPL,2014,Aaron Lennon,82,AML,0,0,0,0.044554699,0,62,1,593,0.044554699,0,,,,,,
EPL,2014,André Schürrle,80,AMR,1,0,0,0.852428973,0,80,5,154,0.893463016,0.093963102,,player,Count of goals,Count of assists,Average of xG,Average of xA
EPL,2014,Eden Hazard,80,AML,0,0,2,0,0.148380995,86,0,701,0.69483602,0.69483602,,Aaron Ramsey,9,9,0.34,0.13
EPL,2014,André Schürrle,80,AMR,0,0,0,0.242139995,0,65,6,154,0.62826997,0.408461004,,Alex Iwobi,7,7,0.22,0.22
EPL,2014,Eden Hazard,80,AML,1,0,7,0.076106198,0.287075013,90,2,701,0.522432983,0.359236002,,Alex Oxlade-Chamberlain,8,8,0.09,0.11
EPL,2014,Erik Lamela,82,AMR,0,2,3,0.105403997,0.531045973,90,3,644,0.717594981,0.577971995,,Alexis Sánchez,28,28,0.46,0.31
EPL,2014,Nacer Chadli,82,AML,2,0,1,0.938802004,0.035486002,69,3,648,1.476729989,0.985255003,,Anthony Martial,13,13,0.23,0.22
EPL,2014,Willian,80,AMR,0,0,0,0,0,77,0,700,0.404558986,0.404558986,,Ashley Young,1,1,0.10,0.06
EPL,2014,Eden Hazard,80,AML,0,0,1,0,0.107709996,85,0,701,1.31072998,1.31072998,,Christian Eriksen,18,18,0.16,0.33
EPL,2014,Erik Lamela,82,AMR,0,0,0,0,0,90,0,644,0.0408035,0.0408035,,Danny Welbeck,2,2,0.36,0.00
EPL,2014,Nacer Chadli,82,AML,0,0,1,0.122979,0.00882326,90,2,648,0.071094297,0.00882326,,David Silva,3,3,0.26,0.34
EPL,2014,Jesús Navas,88,AMR,0,1,1,0.032939099,0.60797298,90,1,616,1.562440038,0.921523988,,Dele Alli,5,5,0.29,0.16
EPL,2014,James Milner,88,AML,0,0,0,0.025006499,0,90,1,489,0.891948998,0.866943002,,Demarai Gray,1,1,0.07,0.03
EPL,2014,André Schürrle,80,AMR,0,0,0,0.0538253,0,48,1,154,0.414413005,0.414413005,,Erik Lamela,26,26,0.22,0.29
EPL,2014,Eden Hazard,80,AML,0,0,4,0.442600012,0.224368006,90,5,701,1.539540052,1.006070018,,Fabian Delph,1,1,0.00,0.00
EPL,2014,Erik Lamela,82,AMR,0,0,3,0.173929006,0.095003799,90,3,644,0.280923992,0.198826,,Jack Wilshere,1,1,0.32,0.12
EPL,2014,Nacer Chadli,82,AML,1,0,2,0.375212997,0.126802996,72,3,648,0.783212006,0.441505998,,Jesús Navas,15,15,0.12,0.19
